Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
117	2076647077	5	24	101	165	9	0.632107	0.673787	0.192000	0.418060	0.379699	0.671660	1.915392	1.000000	0.179104	0.347573	0.080268	0.620301	0.727273	0.034127	0.673787	
118	484685831	5	24	104	162	9	0.622074	0.668148	0.187500	0.428094	0.390977	0.665526	1.860140	1.000000	0.175182	0.336295	0.080268	0.609023	0.727273	0.033020	0.668148	
119	-89249663	5	24	128	138	9	0.541806	0.623035	0.157895	0.508361	0.481203	0.614253	1.511364	1.000000	0.149068	0.246070	0.080268	0.518797	0.727273	0.024161	0.623035	
120	1996820294	5	0	1	265	33	0.886288	0.498120	0.000000	0.003344	0.003759	0.000000	0.000000	0.000000	0.000000	-0.003759	0.000000	0.996241	0.000000	-0.000369	0.498120	
121	-851836033	5	24	130	136	9	0.535117	0.619275	0.155844	0.515050	0.488722	0.609786	1.488112	1.000000	0.147239	0.238551	0.080268	0.511278	0.727273	0.023423	0.619275	
122	-965801339	5	24	130	136	9	0.535117	0.619275	0.155844	0.515050	0.488722	0.609786	1.488112	1.000000	0.147239	0.238551	0.080268	0.511278	0.727273	0.023423	0.619275	
123	1222717228	5	23	128	138	10	0.538462	0.607883	0.152318	0.505017	0.481203	0.601320	1.448390	1.000000	0.142857	0.215767	0.076923	0.518797	0.696970	0.021185	0.607883	
124	-1765055230	5	23	117	149	10	0.575251	0.628560	0.164286	0.468227	0.439850	0.624826	1.584564	1.000000	0.153333	0.257120	0.076923	0.560150	0.696970	0.025246	0.628560	
125	-13438901	6	6	64	228	1	0.782609	0.818982	0.085714	0.234114	0.219178	0.818093	3.910714	1.000000	0.084507	0.637965	0.020067	0.780822	0.857143	0.014586	0.818982	
126	-316144055	6	6	67	225	1	0.772575	0.813845	0.082192	0.244147	0.229452	0.812693	3.735608	1.000000	0.081081	0.627691	0.020067	0.770548	0.857143	0.014351	0.813845	
127	1456508219	6	6	68	224	1	0.769231	0.812133	0.081081	0.247492	0.232877	0.810885	3.680672	1.000000	0.080000	0.624266	0.020067	0.767123	0.857143	0.014273	0.812133	
128	65781760	6	6	63	229	1	0.785953	0.820695	0.086957	0.230769	0.215753	0.819885	3.972789	1.000000	0.085714	0.641389	0.020067	0.784247	0.857143	0.014664	0.820695	
129	-1231633304	6	6	63	229	1	0.785953	0.820695	0.086957	0.230769	0.215753	0.819885	3.972789	1.000000	0.085714	0.641389	0.020067	0.784247	0.857143	0.014664	0.820695	
130	-1988995031	6	6	71	221	1	0.759197	0.806996	0.077922	0.257525	0.243151	0.805437	3.525151	1.000000	0.076923	0.613992	0.020067	0.756849	0.857143	0.014038	0.806996	
131	-352675597	6	6	63	229	1	0.785953	0.820695	0.086957	0.230769	0.215753	0.819885	3.972789	1.000000	0.085714	0.641389	0.020067	0.784247	0.857143	0.014664	0.820695	
132	-1439555266	6	0	1	291	7	0.973244	0.498288	0.000000	0.003344	0.003425	0.000000	0.000000	0.000000	0.000000	-0.003425	0.000000	0.996575	0.000000	-0.000078	0.498288	
133	-1162929966	6	6	62	230	1	0.789298	0.822407	0.088235	0.227425	0.212329	0.821673	4.036866	1.000000	0.086957	0.644814	0.020067	0.787671	0.857143	0.014743	0.822407	
134	-1915586893	6	0	42	250	7	0.836120	0.428082	0.000000	0.140468	0.143836	0.000000	0.000000	0.000000	0.000000	-0.143836	0.000000	0.856164	0.000000	-0.003289	0.428082	
135	1330980018	6	6	64	228	1	0.782609	0.818982	0.085714	0.234114	0.219178	0.818093	3.910714	1.000000	0.084507	0.637965	0.020067	0.780822	0.857143	0.014586	0.818982	
136	-2113332218	6	6	64	228	1	0.782609	0.818982	0.085714	0.234114	0.219178	0.818093	3.910714	1.000000	0.084507	0.637965	0.020067	0.780822	0.857143	0.014586	0.818982	
137	1954539033	6	6	63	229	1	0.785953	0.820695	0.086957	0.230769	0.215753	0.819885	3.972789	1.000000	0.085714	0.641389	0.020067	0.784247	0.857143	0.014664	0.820695	
138	-487998094	6	6	64	228	1	0.782609	0.818982	0.085714	0.234114	0.219178	0.818093	3.910714	1.000000	0.084507	0.637965	0.020067	0.780822	0.857143	0.014586	0.818982	
139	-540282185	6	6	110	182	1	0.628763	0.740215	0.051724	0.387960	0.376712	0.730922	2.275325	1.000000	0.051282	0.480431	0.020067	0.623288	0.857143	0.010984	0.740215	
140	1977801712	6	6	63	229	1	0.785953	0.820695	0.086957	0.230769	0.215753	0.819885	3.972789	1.000000	0.085714	0.641389	0.020067	0.784247	0.857143	0.014664	0.820695	
141	1309927969	6	6	64	228	1	0.782609	0.818982	0.085714	0.234114	0.219178	0.818093	3.910714	1.000000	0.084507	0.637965	0.020067	0.780822	0.857143	0.014586	0.818982	
